date,content,thumbUp
0621,陆陆子加油！！！！,10
0621,墓道歌姬给我冲冲冲！！！！！,5
0621,这个开头词是谁给的？,1
0621,这个节目真的太有意义了,22
0621,王丽坤,42
0621,哈哈哈哈哈哈哈哈来啦,10
0621,比其他选修好看,4
0621,奔三的我来找自信心了,1
0621,含韵姐姐加油啊，我爱你！！！,1
0621,有内味了，,50
0621,特地充了会员,9
0621,坤坤子冲啊,14
0621,姐姐们我来啦！！！,4
0621,张含韵冲冲冲,8
0621,白冰，为你打call,4
0621,吴昕吴昕,87
0621,张含韵我来啦,42
0621,张含韵万茜冲啊！！！,10
0621,会不会以后有个披荆斩棘的哥哥们，哈哈哈,7
0621,万茜冲冲冲！！！！,9
0621,93年。即将步入30岁，。喜欢这个节目,0
0621,昕昕子你是最美的！！！,16
0621,爱了爱了，姐姐们都好强呀！,3
0621,孟佳冲鸭！！！,5
0621,姐姐们加油啊,4
0621,旁白小哥哥是如果国宝会说话的小哥哥吗,2
0621,果然是姐姐，讲话的意思就是不一样,1
0621,万茜冲鸭！！！,28
0621,好帅呀陈松伶，给我们带来的感觉好好,11
0621,等了好久，播了居然都不知道,10
0621,喜欢姐姐们，可爱成熟性感简单大方,1
0621,姐姐们给你们排面！,9
0621,来了,0
0621,给万老板排面,90
0621,万茜姐姐！！！,64
0621,万茜姐姐啊啊啊啊啊啊,44
0621,昕姐，王丽坤、万茜、张含韵给我冲！,43
0621,哇~万老板声音一出来就绝了！！！！,10
0621,万茜！！！,39
0621,万茜万茜！！,10
0621,王霏霏！孟佳！张含韵！李斯丹妮！冲呀！！！！,8
0621,姐姐们终于,9
0621,我居然不知道投谁了  都喜欢,7
0621,以前超喜欢听伊能静的春暖花开,3
0621,基本上都是喜欢的小姐姐，吴昕要加油呀,2
0621,万茜我来啦,74
0621,昕昕子,56
0621,来了来了来了  终于来了,8
0621,姐姐们加油,15
0621,最有魅力的年纪 气场强大,7
0621,来了来了，姐姐们，CYCU吴高音冲鸭,1
0621,姐姐们我来了,12
0621,宁静 冲,6
0621,万茜啊啊啊啊啊！！！,2
0621,一起看的扣个一,4
0621,啊啊啊啊我喜欢张雨绮,0
0621,张含韵姐姐冲冲冲！加油,0
0621,吴昕冲呀,55
0621,昕昕我来了,20
0621,茜姐背影都是最吸引人的，为她而来👍,10
0621,昕昕子,13
0621,啊啊啊啊啊啊啊啊，期待已久，终于等到你,1
0621,万爷。加油😊,4
0621,万茜我爱你！！！,59
0621,你一票我一票，昕昕明天就出道,56
0621,为什么我是来看黄晓明的，是我太奇怪了吗,13
0621,万茜加油啊,17
0621,三十岁的姐姐最有魅力啊！姐姐们冲呀！,7
0621,万老板，做我的1！！！！,2
0621,都是神仙姐姐,18
0621,茜茜子，我来了,5
0621,三个女人一台戏，这一台戏的女人…是电视连续剧呀,0
0621,梦辰姐姐，妮妮来了,2
0621,来了姐姐们爱你们,5
0621,我竟然错过了准时跟姐姐们say嗨！！！！,0
0621,张含韵太好看了,16
0621,茜茜子冲鸭,20
0621,白冰女神 我来了！,8
0621,这个主题我爱了,14
0621,只能期待下 一期！！！！又得再等一个星期AAAA,3
0621,宁静我来了！静静子冲鸭,8
0621,突然就觉得万茜好好,15
0621,大家都好好看,19
0621,啊啊啊啊 各位姐姐们加油！！！,5
0621,说实话，这个真的比创造101好了无数倍。,4
0621,姐姐们我来了,7
0621,姐姐们 加油＾０＾~加油！,4
0621,我来了 我来给万茜当粉头,16
0621,黄圣依冲鸭,13
0621,伊能静姐姐说的很对啊，不管怎样都是我们的选择,1
0621,好多我爱的姐姐都在!开心,8
0621,李斯丹妮我来了,10
0621,蓝盈莹姐姐冲啊啊啊啊！！！！,0
0621,这个节目应该叫最卑微的节目组,63
0621,白冰冲鸭！！！,98
0621,陈松伶漂亮的女神，唱的太好听了,2
0621,给昕姐排面！吴昕给我冲！！！,18
0621,万茜,63
0621,30朝上的女人最美丽，最有魅力,0
0621,aaaaa绮绮子冲啊！C位出道！,22
0621,芒果可以的,26
0621,也是听大家说不错，热度很高，来吧，也来看看呢,3
0621,昕昕加油！！,14
0621,今天我又是一个哪个都爱的人,7
0621,伊能静  伊能静  榜样  ,2
0621,姐姐们，奥力给,17
0621,茜茜爱你爱你,13
0621,我来了！！！姐姐冲啊！！！,2
0621,我太喜欢万茜姐姐了！,10
0621,万茜👴🏻爱你么么么么么哒,1
0621,节目组的嗅觉真灵敏，知道很多大龄女都曾经有个女团梦,0
0621,大vocal郁可唯啊啊啊啊啊啊,25
0621,姐姐们太飒了,35
0621,吴昕吴昕，给我冲,20
0621,万茜真的太好看了,14
0621,陈松伶，真好听哦，歌声好动人,2
0621,这些姐姐我都好喜欢,1
0621,三十＋的女人最有魅力,8
0621,三十岁和十八岁一样，是美好的值得被反复歌颂的年龄,24
0621,吴昕我来了,45
0621,姐姐们我来啦,15
0621,啊啊啊啊啊啊啊啊万茜冲鸭！！！！！,0
0621,丽坤，喜欢你八年了,1
0621,李斯丹妮冲压！,1
0621,吴昕,32
0621,万茜万茜！万茜姐姐加油！,8
0621,吴昕,17
0621,昕姐宁静姐加油！,7
0621,万老板 我来了呜呜呜呜冲冲冲,2
0621,万茜  加油加油  爱你,11
0621,姐姐好飒,36
0621,万茜万茜，冲鸭！！！,7
0621,钟丽缇加油，雅雅姐加油，晓明哥加油,3
0621,闻讯而来,9
0621,有乘风破浪的哥哥吗？,6
0621,是因为都是惹不起的人所以谁都不敢剪才这么长嘛？,13
0621,万茜冲鸭,22
0621,万茜冲冲冲,13
0621,不就是缺钱了嘛,2
0621,姐姐们我来了！,4
0621,超喜欢万茜姐姐，加油＾０＾~,1
0621,满天都是小昕昕,112
0621,为了万茜来的，又美又飒的姐姐啊,15
0621,加油，昕昕子,41
0621,姐姐好飒！！！,37
0621,万茜！宁静！张雨绮！,7
0621,张含韵加油＾０＾~，小时候特喜欢你的贴纸哦⊙∀⊙！,2
0621,金晨！！！！！,31
0621,都想pick,17
0621,丁当我来了  冲呀,3
0621,给姐姐们排面整起,17
0621,姐姐们的业务能力没得说,3
0621,让一妻多夫来得猛烈些吧！,1
0621,万茜我来了！！！！万老板冲鸭！！！！,33
0621,全中国！超人气选秀！出现了！,18
0621,我又要搞选秀了，还不是一般的选秀，真香,18
0621,好艰难…………回纥好像不能勉强就在这里举行,1
0621,啊啊啊啊啊啊啊啊啊啊姐姐我来了,2
0621,姐姐们我来了……宁静姐我来了啊啊啊啊,0
0621,想看晓明被姐姐们怼哭啊哈哈哈哈哈哈,47
0621, 姐姐加油 王霏霏,13
0621,我擦 ！万茜！！我的最爱,10
0621,来了！火前留名！,12
0621,白冰 金晨 love,1
0621,而且三十真的不大啊,10
0621,这哪一个放现在女团都是c位呀,6
0621,茜茜子冲鸭,10
0621,小雨是最棒的!,5
0621,芒果我最敬佩的电视台,2
0621,什么年代了还拿30坎说事……,1
0621,我来了 第一个打卡,3
0621,那是金晨吗？好好看！,15
0621,30而立的魅力无人能比,11
0621,这些姐姐们的浪太大了  我们坚持越久  浪越大,2
0621,郁可唯冲,4
0621,静姐加油！！！！冲鸭！！！,1
0621,太强大了 啊啊啊啊啊啊啊啊啊,0
0621,吴昕，沈梦晨,20
0621,吴昕！！！！,9
0621,含金量太高了，没有不爱的。,8
0621,你一票我一票，茜姐明天就出道,4
0621,兴奋作浪的哥哥哈哈哈哈,0
0621,昕昕我来了,7
0621,黄圣依！我来了！绝美vocal依依子！,14
0621,文案可!,38
0621,开场这段开场白耳机听！！！！！,9
0621,王霏霏！,11
0621,金莎 金晨 张含韵  白冰  万茜  加油,3
0621,白冰，白冰姐姐，爱你哟，冲啊,6
0621,金晨呀,32
0621,万老板冲鸭！,9
0621,万茜,24
0621,来了来了,8
0621,妈耶，太燃了！,6
0621,姐姐  我来了,8
0621,文案超可！！！同为30岁 感动的想哭,5
0621,旁白爱了,23
0621,姐姐们好美,8
0621,虽然有几个姐姐是真的惹不起系列但是不是所有的姐姐都惹不起,2
0621,吴昕  万茜  金晨  王丽坤我都爱,4
0621,砺砺而行,5
0621,如果有江疏影就好了,37
0621,吴昕冲鸭,64
